Date,Number of Orders,Status of Order, Total CBV ,Service,,,,Data Dictionary
2016-01-01,180,Cancelled,"  76,076,000 ",GO-BOX,,,,Cancelled: The driver or customer cancelled the order
2016-01-01,10,Cancelled,"  1,960,140 ",GO-CLEAN,,,,No Driver Found: The customer booked an order but we were unable to find a driver for them.
2016-01-01,28380,Cancelled,"  489,898,500 ",GO-FOOD,,,,Other/Failed/Timeout: Bug in the system
2016-01-01,0,Cancelled,"  728,000 ",GO-GLAM,,,,Completed: The order was successfully completed
2016-01-01,10,Cancelled,"  136,500 ",GO-KILAT,,,,
2016-01-01,1710,Cancelled,"  23,933,000 ",GO-MART,,,,CBV: Cash booking value. The total amount a customer SHOULD pay for a successfully completed order.
2016-01-01,80,Cancelled,"  14,714,700 ",GO-MASSAGE,,,,
2016-01-01,33230,Cancelled,"  855,767,640 ",GO-RIDE,,,,
2016-01-01,1760,Cancelled,"  66,238,900 ",GO-SEND,,,,Questions:
2016-01-01,9280,Cancelled,"  236,874,820 ",GO-SHOP,,,,"Given the data, make a table (in Excel/Python/R) that best demonstrates the data to someone who wants to get a quick snapshot view of GO-JEK's performance. "
2016-01-01,160,Cancelled,  -   ,GO-TIX,,,,"Given the data, create some visualizations to display the information visually to the Board of Director. They want to know if there are any existing problems on any of the products that they are not yet aware of. You can use Excel, R, Python, Tableau, or any other tool you wish. Present your findings clearly and with a concrete plan for management to commit to in the next Quarter."
2016-01-01,470,Completed,"  193,458,265 ",GO-BOX,,,,
2016-01-01,110,Completed,"  17,510,220 ",GO-CLEAN,,,,
2016-01-01,66390,Completed,"  1,114,831,900 ",GO-FOOD,,,,
2016-01-01,60,Completed,"  8,581,300 ",GO-GLAM,,,,
2016-01-01,0,Completed,"  81,900 ",GO-KILAT,,,,
2016-01-01,2920,Completed,"  40,840,800 ",GO-MART,,,,
2016-01-01,500,Completed,"  94,518,970 ",GO-MASSAGE,,,,
2016-01-01,144110,Completed,"  3,262,077,000 ",GO-RIDE,,,,
2016-01-01,8720,Completed,"  317,522,660 ",GO-SEND,,,,
2016-01-01,12440,Completed,"  289,534,700 ",GO-SHOP,,,,
2016-01-01,20,Completed,  -   ,GO-TIX,,,,
2016-01-01,0,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-01,60,No Driver Found,"  28,938,142 ",GO-BOX,,,,
2016-01-01,0,No Driver Found,"  555,100 ",GO-CLEAN,,,,
2016-01-01,1690,No Driver Found,"  35,435,400 ",GO-FOOD,,,,
2016-01-01,20,No Driver Found,"  3,931,200 ",GO-GLAM,,,,
2016-01-01,0,No Driver Found,"  54,600 ",GO-MART,,,,
2016-01-01,70,No Driver Found,"  11,962,860 ",GO-MASSAGE,,,,
2016-01-01,2970,No Driver Found,"  80,647,840 ",GO-RIDE,,,,
2016-01-01,100,No Driver Found,"  3,663,660 ",GO-SEND,,,,
2016-01-01,120,No Driver Found,"  2,617,160 ",GO-SHOP,,,,
2016-01-01,0,Other,"  54,600 ",GO-FOOD,,,,
2016-01-01,10,Other,"  167,440 ",GO-RIDE,,,,
2016-01-01,0,Other,"  69,160 ",GO-SHOP,,,,
2016-01-02,210,Cancelled,"  92,423,695 ",GO-BOX,,,,
2016-01-02,10,Cancelled,"  1,492,400 ",GO-CLEAN,,,,
2016-01-02,33440,Cancelled,"  582,127,000 ",GO-FOOD,,,,
2016-01-02,0,Cancelled,"  500,500 ",GO-GLAM,,,,
2016-01-02,2070,Cancelled,"  29,010,800 ",GO-MART,,,,
2016-01-02,60,Cancelled,"  9,897,160 ",GO-MASSAGE,,,,
2016-01-02,31620,Cancelled,"  795,560,220 ",GO-RIDE,,,,
2016-01-02,2670,Cancelled,"  103,044,760 ",GO-SEND,,,,
2016-01-02,10620,Cancelled,"  277,076,800 ",GO-SHOP,,,,
2016-01-02,130,Cancelled,  -   ,GO-TIX,,,,
2016-01-02,610,Completed,"  241,902,115 ",GO-BOX,,,,
2016-01-02,170,Completed,"  30,080,960 ",GO-CLEAN,,,,
2016-01-02,75900,Completed,"  1,281,543,900 ",GO-FOOD,,,,
2016-01-02,60,Completed,"  9,837,100 ",GO-GLAM,,,,
2016-01-02,0,Completed,"  27,300 ",GO-KILAT,,,,
2016-01-02,2930,Completed,"  41,059,200 ",GO-MART,,,,
2016-01-02,520,Completed,"  96,183,360 ",GO-MASSAGE,,,,
2016-01-02,156830,Completed,"  3,468,002,720 ",GO-RIDE,,,,
2016-01-02,13570,Completed,"  499,360,680 ",GO-SEND,,,,
2016-01-02,14900,Completed,"  355,577,040 ",GO-SHOP,,,,
2016-01-02,20,Completed,  -   ,GO-TIX,,,,
2016-01-02,10,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-02,30,No Driver Found,"  18,124,470 ",GO-BOX,,,,
2016-01-02,0,No Driver Found,"  564,200 ",GO-CLEAN,,,,
2016-01-02,1370,No Driver Found,"  28,774,200 ",GO-FOOD,,,,
2016-01-02,10,No Driver Found,"  1,956,500 ",GO-GLAM,,,,
2016-01-02,40,No Driver Found,"  7,398,300 ",GO-MASSAGE,,,,
2016-01-02,1050,No Driver Found,"  29,190,980 ",GO-RIDE,,,,
2016-01-02,70,No Driver Found,"  3,245,060 ",GO-SEND,,,,
2016-01-02,80,No Driver Found,"  1,889,160 ",GO-SHOP,,,,
2016-01-02,10,Other,"  154,700 ",GO-FOOD,,,,
2016-01-02,10,Other,"  200,200 ",GO-RIDE,,,,
2016-01-02,0,Other,"  54,600 ",GO-SEND,,,,
2016-01-03,230,Cancelled,"  104,029,380 ",GO-BOX,,,,
2016-01-03,30,Cancelled,"  4,786,600 ",GO-CLEAN,,,,
2016-01-03,34300,Cancelled,"  595,813,400 ",GO-FOOD,,,,
2016-01-03,10,Cancelled,"  1,001,000 ",GO-GLAM,,,,
2016-01-03,2460,Cancelled,"  34,489,000 ",GO-MART,,,,
2016-01-03,70,Cancelled,"  13,058,500 ",GO-MASSAGE,,,,
2016-01-03,31490,Cancelled,"  802,530,820 ",GO-RIDE,,,,
2016-01-03,2500,Cancelled,"  97,672,120 ",GO-SEND,,,,
2016-01-03,10370,Cancelled,"  262,465,840 ",GO-SHOP,,,,
2016-01-03,80,Cancelled,  -   ,GO-TIX,,,,
2016-01-03,620,Completed,"  229,783,645 ",GO-BOX,,,,
2016-01-03,210,Completed,"  33,074,860 ",GO-CLEAN,,,,
2016-01-03,80590,Completed,"  1,359,740,200 ",GO-FOOD,,,,
2016-01-03,70,Completed,"  10,756,200 ",GO-GLAM,,,,
2016-01-03,0,Completed,"  27,300 ",GO-KILAT,,,,
2016-01-03,3210,Completed,"  44,935,800 ",GO-MART,,,,
2016-01-03,610,Completed,"  119,873,390 ",GO-MASSAGE,,,,
2016-01-03,167840,Completed,"  3,721,508,700 ",GO-RIDE,,,,
2016-01-03,14240,Completed,"  526,746,220 ",GO-SEND,,,,
2016-01-03,14390,Completed,"  341,455,660 ",GO-SHOP,,,,
2016-01-03,0,Completed,  -   ,GO-TIX,,,,
2016-01-03,0,Failed/Timeout,  -   ,GO-TIX,,,,
2016-01-03,50,No Driver Found,"  37,631,230 ",GO-BOX,,,,
2016-01-03,10,No Driver Found,"  664,300 ",GO-CLEAN,,,,
2016-01-03,1340,No Driver Found,"  28,128,100 ",GO-FOOD,,,,
